1,2,3,4,5,6,7,8
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
391,376,423,377,428,393,417,397
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
799,778,811,764,838,796,811,805
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1215,1184,1199,1120,1269,1210,1223,1182
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
1596,1543,1587,1527,1676,1601,1659,1613
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2019,1957,1972,1942,2065,1992,2044,2011
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2429,2324,2416,2344,2453,2374,2428,2434
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
2822,2741,2814,2748,2827,2796,2815,2839
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3225,3146,3212,3140,3241,3166,3211,3261
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
3624,3561,3583,3497,3669,3562,3627,3679
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4061,3961,3945,3867,4064,3965,4040,4099
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4445,4366,4332,4278,4462,4373,4457,4489
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
4856,4769,4766,4669,4864,4763,4845,4870
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5249,5157,5168,5071,5281,5140,5280,5256
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
5651,5539,5604,5477,5697,5507,5677,5650
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6050,5928,5986,5871,6090,5956,6073,6048
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6448,6352,6425,6290,6462,6347,6442,6436
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
6860,6752,6811,6704,6897,6729,6830,6819
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7240,7166,7213,7080,7316,7152,7217,7218
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
7659,7553,7604,7470,7712,7560,7620,7624
8081,7952,8036,7873,8109,7931,8010,8010
8081,7952,8036,7873,8109,7931,8010,8010
8081,7952,8036,7873,8109,7931,8010,8010
8081,7952,8036,7873,8109,7931,8010,8010
8081,7952,8036,7873,8109,7931,8010,8010
8081,7952,8036,7873,8109,7931,8010,8010
