1,2,3,4,5,6,7,8
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
392,397,413,425,395,413,380,387
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
796,769,790,829,801,834,806,777
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1203,1160,1175,1228,1206,1256,1205,1169
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
1630,1552,1566,1612,1585,1691,1617,1549
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2022,1949,1980,2014,1995,2105,2016,1921
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2420,2340,2386,2455,2381,2471,2438,2311
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
2824,2743,2794,2834,2820,2819,2837,2731
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3216,3155,3151,3238,3228,3218,3286,3110
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
3622,3523,3543,3644,3616,3635,3672,3547
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4007,3924,3937,4067,4026,4030,4082,3929
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4390,4325,4349,4473,4447,4416,4468,4334
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
4774,4779,4725,4872,4831,4830,4866,4725
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5151,5172,5146,5267,5248,5221,5287,5110
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5552,5566,5550,5658,5621,5633,5722,5500
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
5939,5964,5966,6049,5990,6067,6130,5897
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6345,6346,6338,6443,6402,6468,6531,6329
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
6722,6744,6767,6835,6795,6871,6964,6704
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7111,7113,7142,7289,7225,7256,7369,7097
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7529,7515,7549,7688,7608,7667,7750,7496
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
7951,7925,7954,8080,8003,8041,8178,7870
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8339,8359,8350,8480,8416,8428,8559,8271
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
8757,8752,8766,8898,8779,8812,8969,8669
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9144,9162,9142,9318,9188,9200,9382,9066
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9545,9601,9523,9729,9586,9583,9773,9462
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
9974,10010,9918,10119,10007,9940,10205,9829
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10375,10442,10280,10539,10400,10315,10604,10247
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
10761,10882,10684,10908,10773,10736,11017,10641
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11177,11320,11069,11294,11138,11137,11403,11064
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11532,11728,11471,11692,11563,11547,11765,11504
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
11901,12105,11872,12124,11954,11948,12179,11919
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12286,12495,12287,12522,12347,12372,12559,12334
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
12703,12881,12714,12914,12748,12781,12944,12717
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13138,13266,13113,13327,13147,13136,13360,13115
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13508,13681,13481,13709,13554,13549,13785,13535
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
13905,14116,13890,14100,13942,13945,14200,13904
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14298,14503,14301,14481,14357,14339,14628,14295
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
14733,14883,14678,14890,14746,14729,15042,14701
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15136,15298,15104,15284,15131,15125,15429,15095
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15554,15698,15495,15670,15545,15504,15802,15534
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
15944,16106,15890,16074,15944,15909,16222,15913
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16351,16509,16290,16466,16382,16269,16624,16311
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
16736,16893,16699,16864,16809,16660,17017,16724
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17130,17288,17105,17253,17211,17055,17427,17133
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17491,17706,17524,17675,17631,17429,17816,17530
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
17898,18098,17957,18090,18018,17819,18215,17907
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18290,18506,18386,18467,18400,18232,18615,18306
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
18681,18930,18787,18860,18785,18641,19006,18712
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19077,19314,19221,19257,19210,19051,19374,19098
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19450,19700,19665,19676,19580,19448,19789,19494
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
19801,20112,20094,20074,19997,19837,20201,19886
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20189,20526,20468,20476,20400,20259,20586,20298
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
20575,20923,20876,20877,20802,20657,20988,20704
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21012,21329,21263,21270,21200,21058,21383,21087
21383,21728,21677,21696,21605,21466,21772,21475
21383,21728,21677,21696,21605,21466,21772,21475
21383,21728,21677,21696,21605,21466,21772,21475
